iter	RMSE
0	13.91758949
1	13.0049631
2	12.31765635
3	11.72324233
4	11.30402239
5	10.88872116
6	10.48453161
7	10.15826496
8	9.889227866
9	9.650815399
10	9.38628926
11	9.149915078
12	8.934725507
13	8.713896257
14	8.499535058
15	8.334986273
16	8.153694268
17	7.990891606
18	7.822730215
19	7.723041886
20	7.601689079
21	7.471213314
22	7.406386844
23	7.283826714
24	7.197290322
25	7.040998095
26	6.927633607
27	6.854428767
28	6.78211128
29	6.674676715
30	6.59806846
31	6.535655163
32	6.461387377
33	6.396538146
34	6.343627238
35	6.291067424
36	6.245593149
37	6.194337036
38	6.154262653
39	6.113416
40	6.074712486
41	6.046591176
42	6.011888045
43	5.987156271
44	5.954080964
45	5.931738054
46	5.901327637
47	5.870544402
48	5.845956492
49	5.8242516
50	5.807322904
51	5.784624136
52	5.763503501
53	5.743495553
54	5.72523591
55	5.711192784
56	5.696555188
57	5.680546926
58	5.662498279
59	5.647246882
60	5.636435715
61	5.62733951
62	5.619571263
63	5.606071455
64	5.593556836
65	5.581974732
66	5.567796933
67	5.558094913
68	5.547068563
69	5.541549497
70	5.531255569
71	5.522780042
72	5.518622437
73	5.511004342
74	5.503265668
75	5.496176905
76	5.492765911
77	5.484263167
78	5.477238924
79	5.473832427
80	5.468341487
81	5.463680248
82	5.456900459
83	5.449939058
84	5.445848835
85	5.441993971
86	5.439514325
87	5.434693892
88	5.432593332
89	5.428244869
90	5.423647548
91	5.418218997
92	5.414232114
93	5.410375413
94	5.406429087
95	5.404675521
96	5.403098899
97	5.400065044
98	5.39875014
99	5.397637981
100	5.396697128
101	5.395901083
102	5.393155449
103	5.38910918
104	5.385473905
105	5.382063707
106	5.381648281
107	5.381044466
108	5.37809706
109	5.375662574
110	5.373387974
111	5.371036017
112	5.368867478
113	5.366962225
114	5.366464598
115	5.363560005
116	5.361693274
117	5.359358145
118	5.35785748
119	5.355151616
120	5.354739783
121	5.353051691
122	5.351404063
123	5.349724205
124	5.347802327
125	5.346043552
126	5.344105771
127	5.34228087
128	5.340998127
129	5.340665397
130	5.339419298
131	5.338276229
132	5.337993077
133	5.337753698
134	5.336188437
135	5.334723051
136	5.333119067
137	5.331793867
138	5.330459225
139	5.329189799
140	5.327669716
141	5.327454356
142	5.326096167
143	5.325201897
144	5.324104049
145	5.322681704
146	5.321748206
147	5.320675803
148	5.319551924
149	5.318447278
150	5.317310371
151	5.316401447
152	5.315201337
153	5.315005876
154	5.314208214
155	5.313203577
156	5.312116474
157	5.310836973
158	5.309928077
159	5.309748451
160	5.308675529
161	5.307499834
162	5.306359311
163	5.305449106
164	5.30413202
165	5.303235491
166	5.302203317
167	5.301427157
168	5.300726516
169	5.2997065
170	5.298820886
171	5.297799141
172	5.296996709
173	5.296487985
