iter	Passed	Remaining
0	1	760
1	2	665
2	3	632
3	5	628
4	6	620
5	7	613
6	8	597
7	9	613
8	11	605
9	12	599
10	13	598
11	14	601
12	15	594
13	17	595
14	18	593
15	19	589
16	20	585
17	21	584
18	23	584
19	24	583
20	25	579
21	26	575
22	27	572
23	28	569
24	29	568
25	31	565
26	32	566
27	33	566
28	35	568
29	36	568
30	37	568
31	38	562
32	39	554
33	40	548
34	40	543
35	41	537
36	42	529
37	43	523
38	43	515
39	44	508
40	44	501
41	45	495
42	46	489
43	46	483
44	47	477
45	47	471
46	48	466
47	48	461
48	49	455
49	49	449
50	50	443
51	50	438
52	51	433
53	51	429
54	52	424
55	52	419
56	53	415
57	53	410
58	54	406
59	54	401
60	55	397
61	55	392
62	56	388
63	56	384
64	56	380
65	57	377
66	57	373
67	58	369
68	58	366
69	59	362
70	59	359
71	59	356
72	60	352
73	60	350
74	61	347
75	61	345
76	62	342
77	62	339
78	63	336
79	63	333
80	63	330
81	64	327
82	64	324
83	65	322
84	65	319
85	65	316
86	66	313
87	66	311
88	66	308
89	67	305
90	67	303
91	67	300
92	68	298
93	68	295
94	68	293
95	69	290
96	69	289
97	70	288
98	70	286
99	71	284
100	71	282
101	71	279
102	72	277
103	72	275
104	72	273
105	72	271
106	73	269
107	73	267
108	73	264
109	74	263
110	74	261
111	74	258
112	75	257
113	75	255
114	75	253
115	75	251
116	76	249
117	76	247
118	76	245
119	77	244
120	77	242
121	77	240
122	78	239
123	78	237
124	78	235
125	78	234
126	79	232
127	79	230
128	79	229
129	80	227
130	80	226
131	80	224
132	80	223
133	81	221
134	81	220
135	81	218
136	81	217
137	82	215
138	82	214
139	82	212
140	83	211
141	83	210
142	83	209
143	84	207
144	84	206
145	84	205
146	85	204
147	85	202
148	85	201
149	85	200
150	86	199
151	86	198
152	86	197
153	87	195
154	87	194
155	87	193
156	88	192
157	88	191
158	88	190
159	89	189
160	89	188
161	89	187
162	90	186
163	90	185
164	90	184
165	91	183
166	91	182
167	91	181
168	91	179
169	92	178
170	92	177
171	92	176
172	92	175
173	93	174
174	93	173
175	93	172
176	94	171
177	94	170
178	94	169
179	94	168
180	95	167
181	95	166
182	95	165
183	96	165
184	96	164
185	96	163
186	96	162
187	97	161
188	97	160
189	97	159
190	98	158
191	98	157
192	98	156
193	98	155
194	99	155
195	99	154
196	99	153
197	100	152
198	100	151
199	100	150
200	100	150
201	101	149
202	101	148
203	101	147
204	102	146
205	102	146
206	102	145
207	103	144
208	103	144
209	103	143
210	104	142
211	104	141
212	105	142
213	106	141
214	106	141
215	106	140
216	107	139
217	107	138
218	107	138
219	107	137
220	108	136
221	108	135
222	108	135
223	109	134
224	109	133
225	109	133
226	109	132
227	110	131
228	110	130
229	110	130
230	111	129
231	111	128
232	111	127
233	111	127
234	112	126
235	112	125
236	112	125
237	113	124
238	113	123
239	113	123
240	113	122
241	114	121
242	114	121
243	114	120
244	115	119
245	115	119
246	115	118
247	116	117
248	116	117
249	116	116
250	116	115
251	117	115
252	117	114
253	117	114
254	117	113
255	118	112
256	118	112
257	118	111
258	119	110
259	119	110
260	119	109
261	119	108
262	120	108
263	120	107
264	120	106
265	120	106
266	121	105
267	121	105
268	121	104
269	121	103
270	122	103
271	122	102
272	122	102
273	123	101
274	123	100
275	123	100
276	123	99
277	124	99
278	124	98
279	124	97
280	125	97
281	125	96
282	125	96
283	125	95
284	126	95
285	126	94
286	126	93
287	126	93
288	127	92
289	127	92
290	127	91
291	127	91
292	128	90
293	128	90
294	128	89
295	129	88
296	129	88
297	129	87
298	129	87
299	130	86
300	130	86
301	130	85
302	131	85
303	131	84
304	131	84
305	131	83
306	132	83
307	132	82
308	132	82
309	132	81
310	133	80
311	133	80
312	133	79
313	134	79
314	134	78
315	134	78
316	134	77
317	135	77
318	135	76
319	135	76
320	136	75
321	136	75
322	136	74
323	136	74
324	137	73
325	137	73
326	137	72
327	137	72
328	138	71
329	138	71
330	138	70
331	139	70
332	139	69
333	139	69
334	139	68
335	140	68
336	140	67
337	140	67
338	141	67
339	141	66
340	141	66
341	141	65
342	142	65
343	142	64
344	142	64
345	143	63
346	143	63
347	143	62
348	143	62
349	144	61
350	144	61
351	144	60
352	145	60
353	145	59
354	145	59
355	145	58
356	146	58
357	146	58
358	146	57
359	146	57
360	147	56
361	147	56
362	147	55
363	148	55
364	148	54
365	148	54
366	148	53
367	149	53
368	149	53
369	149	52
370	150	52
371	150	51
372	150	51
373	151	50
374	151	50
375	151	50
376	152	49
377	152	49
378	152	48
379	153	48
380	153	47
381	153	47
382	154	47
383	154	46
384	154	46
385	155	45
386	155	45
387	155	44
388	155	44
389	156	44
390	156	43
391	156	43
392	157	42
393	157	42
394	157	41
395	157	41
396	158	41
397	158	40
398	158	40
399	159	39
400	159	39
401	159	38
402	159	38
403	160	38
404	160	37
405	160	37
406	161	36
407	161	36
408	161	35
409	161	35
410	162	35
411	162	34
412	162	34
413	163	33
414	163	33
415	163	33
416	163	32
417	164	32
418	164	31
419	164	31
420	164	30
421	165	30
422	165	30
423	166	29
424	166	29
425	166	28
426	167	28
427	167	28
428	167	27
429	167	27
430	168	26
431	168	26
432	168	26
433	169	25
434	169	25
435	169	24
436	169	24
437	170	24
438	170	23
439	170	23
440	171	22
441	171	22
442	171	22
443	171	21
444	172	21
445	172	20
446	172	20
447	173	20
448	173	19
449	173	19
450	173	18
451	174	18
452	174	18
453	174	17
454	174	17
455	175	16
456	175	16
457	175	16
458	175	15
459	176	15
460	176	14
461	176	14
462	177	14
463	177	13
464	177	13
465	177	12
466	178	12
467	178	12
468	178	11
469	179	11
470	179	11
471	179	10
472	179	10
473	180	9
474	180	9
475	180	9
476	180	8
477	181	8
478	181	7
479	181	7
480	182	7
481	182	6
482	182	6
483	183	6
484	183	5
485	183	5
486	183	4
487	184	4
488	184	4
489	184	3
490	185	3
491	185	3
492	185	2
493	185	2
494	186	1
495	186	1
496	186	1
497	187	0
498	187	0
499	187	0
